"$100","$100","lesson 19"
"$25","$25","lesson 19"
"$300,000,000","$300,000,000","lesson 19"
"$50","$50","lesson 19"
"1","1","lesson 25"
"10","10","lesson 16"
"10","10","lesson 20"
"10,000","10,000","lesson 20"
"100","100","lesson 20"
"150,000","150,000","lesson 19"
"1624","1624","lesson 21"
"1860","1860","lesson 21"
"1923","1923","lesson 25"
"1948","1948","lesson 16"
"19th","19t","lesson 18"
"2","2","lesson 19"
"20","20","lesson 13"
"200,000","200,000","lesson 19"
"20th","20t","lesson 28"
"23","23","lesson 19"
"2900","2900","lesson 17"
"3","3","lesson 16"
"300,00","300,000","lesson 19"
"3400","3400","lesson 17"
"3rd","3rd","lesson 28"
"400","400","lesson 20"
"50","50","lesson 20"
"70","70","lesson 20"
"80","80","lesson 25"
"II","2","lesson 28"
"a","a","lesson 3"
"abate","abat","lesson 1(complete text)"
"abbey","ab","lesson 69 (complete text)"
"ability","abl","lesson 5, common word beginnings and endings"
"able","ab","lesson 26"
"about","a","lesson 3, briefs a=an, and, at, about"
"above","abv","lesson 30"
"absences","absns","lesson 4"
"abstract","abstrk","lesson 68 (complete text)"
"abundance","abndn","lesson 18"
"accelerated","aclratd","lesson 18"
"accept","acpt","lesson 1, rule 5 (omit silent consonants within a word [treat the 2nd of a double consonant as silent])"
"accessories","acsrs","lesson 54 (complete text)"
"accident","acdn","lesson 8"
"accommodations","acmodass","lesson 6"
"accomplish","acpls","lesson 3"
"accredited","acrdtd","lesson 58 (complete text)"
"accuracy","acurc","lesson 24"
"acetate","actat","lesson 53 (complete text)"
"acid","acd","lesson 15"
"acids","acds","lesson 26"
"acorns","acrns","lesson 17"
"acoustics","acostcs","lesson 67 (complete text)"
"acre","acr","lesson 1(complete text)"
"acreage","acrg","lesson 48 (complete text)"
"act","ak","lesson 19"
"action","acs","lesson 26"
"activity","actvt","lesson 10"
"acts","aks","lesson 19"
"actual","actul","lesson 5, common word beginnings and endings"
"actually","actul","lesson 9"
"adaptation","adptas","lesson 67 (complete text)"
"add","ad","lesson 28"
"added","add","lesson 29"
"addition","ads","lesson 17 (complete text)"
"additional","adsl","lesson 18"
"address","adrs","lesson 3"
"adhesive","adhsv","lesson 61 (complete text)"
"adulteration","adltras","lesson 62 (complete text)"
"adults","adlts","lesson 10"
"advance","advn","lesson 7 (complete text)"
"advanced","advnd","lesson 30"
"advised","advisd","lesson 4"
"affair","afr","lesson 3"
"affected","afctd","lesson 23"
"afford","afd","lesson 5, common word beginnings and endings"
"after","aftr","lesson 4"
"aftermath","aftrmt","lesson 5, common word beginnings and endings"
"afternoon","aftrnon","lesson 4"
"afterwards","aftrwrds","lesson 26"
"again","agn","lesson 8 (complete text)"
"against","agnst","lesson 22"
"age","ag","lesson 1, rule 2 (always write a sounding vowel if at the beginning of a word)"
"agency","agnc","lesson 8"
"agents","agns","lesson 19"
"ages","ags","lesson 16"
"aggressive","agrsv","lesson 18"
"aggressivity","agrsvt","lesson 65 (complete text)"
"agitator","agtatr","lesson 64 (complete text)"
"ago","ago","lesson 18 (but note short form in phrase 'years ago')"
"aid","ad","lesson 3"
"aide","ad","lesson 7 (complete text)"
"air","ar","lesson 27"
"aircraft","arcrft","lesson 49 (complete text)"
"airline","arlin","lesson 70 (complete text)"
"airshaft","arsft","lesson 56 (complete text)"
"alarm","alrm","lesson 1(complete text)"
"alkali","alkli","lesson 26"
"alkalies","alklis","lesson 26"
"all","l","lesson 3, briefs l=all, also, letter, well, will"
"allege","alg","lesson 7"
"allegiance","algn","lesson 29"
"allergic","alrgc","lesson 70 (complete text)"
"alleviate","alvat","lesson 8"
"allowances","alwns","lesson 16"
"allowed","alwd","lesson 26"
"alone","alon","lesson 3"
"along","alg","lesson 12"
"alpaca","alpca","lesson 69 (complete text)"
"alpha","alfa","lesson 52 (complete text)"
"alphabetical","alfbtcl","lesson 66 (complete text)"
"already","alrd","lesson 6"
"also","l","lesson 3, briefs l=all, also, letter, well, will"
"alter","altr","lesson 69 (complete text)"
"alternating","altrnatg","lesson 59 (complete text)"
"although","alto","lesson 22"
"altitude","alttud","lesson 5, common word beginnings and endings"
"altogether","altgtr","lesson 30"
"always","alwas","lesson 27"
"am","m","lesson 3, briefs m=am, made, man, me, men, my"
"ambitious","ambss","lesson 9"
"amble","amb","lesson 11"
"america","amrca","lesson 7"
"american","amrcn","lesson 3"
"ammeter","amtr","lesson 59 (complete text)"
"ammonia","amona","lesson 26"
"ammunition","amuns","lesson 63 (complete text)"
"among","amg","lesson 18"
"amount","amt","lesson 23"
"amounts","amts","lesson 15"
"ampere","ampr","lesson 59 (complete text)"
"amphibious","amfbs","lesson 63 (complete text)"
"amplifier","amplfr","lesson 60 (complete text)"
"amplifiers","amplfrs","lesson 67 (complete text)"
"an","a","lesson 3, briefs a=an, and, at, about"
"analysis","anls","lesson 9"
"and","a","lesson 3, briefs a=an, and, at, about"
"anesthesia","ansteza","lesson 70 (complete text)"
"angle","agl","lesson 20"
"animal","anml","lesson 21"
"animals","anmls","lesson 22"
"annex","anx","lesson 15"
"announce","anwn","lesson 10"
"annual","anul","lesson 29"
"annually","anul","lesson 19"
"another","antr","lesson 3"
"answer","ansr","lesson 1, rule 5 (omit silent consonants within a word [treat the 2nd of a double consonant as silent])"
"anthracite","antrcit","lesson 56 (complete text)"
"antibiotic","antbitc","lesson 62 (complete text)"
"antisocial","antsosl","lesson 65 (complete text)"
"anxious","ankss","lesson 8"
"anxiously","ankssl","lesson 6"
"any","an","lesson 4"
"anyone","anwn","lesson 24"
